date,open,high,low,close
2026-01-02,26000,26100,25500,25900
2026-01-05,25900,26000,25200,25350
2026-01-06,25350,25600,25200,25500
2026-01-07,25500,25800,25400,25700
2026-01-08,25700,26000,25600,25900
2026-01-09,25900,26200,25800,26100
2026-01-12,26100,26300,26000,26200
2026-01-13,26200,26400,25600,25700
2026-01-14,25700,25900,25500,25850
2026-01-15,25850,26100,25700,26000
2026-01-16,26000,26200,25900,26100
2026-01-19,26100,26300,26000,26200
2026-01-20,26200,26400,25900,26000
2026-01-21,26000,26200,25800,25900
2026-01-22,25900,26200,25800,26100
2026-01-23,26100,26300,26000,26250
2026-01-27,26250,26400,25700,25800
2026-01-28,25800,26000,25600,25700
2026-01-29,25700,26000,25600,25900
2026-01-30,25900,26200,25800,26100
2026-02-02,26100,26300,26000,26250
2026-02-03,26250,26500,26100,26400
2026-02-04,26400,26600,26200,26500
2026-02-05,26500,26700,25800,25900
2026-02-06,25900,26200,25800,26050
2026-02-09,26050,26300,25900,26200
2026-02-10,26200,26400,26000,26300
2026-02-11,26300,26500,26100,26400
2026-02-12,26400,26600,26200,26500
2026-02-13,26500,26600,25700,25800
2026-02-16,25800,26000,25500,25600
2026-02-17,25600,25900,25400,25750
2026-02-18,25750,26000,25600,25900
2026-02-19,25900,26200,25800,26100
2026-02-20,26100,26300,26000,26200
2026-02-23,26200,26300,25500,25600
2026-02-24,25600,25800,25300,25400
2026-02-25,25400,25800,25300,25700
2026-02-26,25700,26000,25500,25850
2026-02-27,25850,26100,25700,26000
2026-03-02,26000,26300,25900,26200
2026-03-03,26200,26400,26000,26300
2026-03-04,26300,26500,25700,25800
2026-03-05,25800,26000,25300,25400
2026-03-06,25400,25800,25300,25600
2026-03-09,25600,25900,25500,25800
2026-03-10,25800,26100,25700,26000
2026-03-11,26000,26300,25900,26200
2026-03-12,26200,26400,26000,26300
2026-03-13,26300,26400,25700,25800
